,Company_name,Symbol,Sector,Date_added
0,Adani Enterprises,ADANIENT,Metals & Mining,2022-09-30
1,Adani Ports & SEZ,ADANIPORTS,Services,2015-09-28
2,Apollo Hospitals,APOLLOHOSP,Healthcare,2022-03-31
3,Asian Paints,ASIANPAINT,Consumer Durables,2012-04-27
4,Axis Bank,AXISBANK,Financial Services,2009-03-27
5,Bajaj Auto,BAJAJ-AUTO,Automobile and Auto Components,2010-10-01
6,Bajaj Finance,BAJFINANCE,Financial Services,2017-09-29
7,Bajaj Finserv,BAJAJFINSV,Financial Services,2018-04-02
8,Bharat Electronics,BEL,Capital Goods,2024-09-30
9,Bharti Airtel,BHARTIARTL,Telecommunication,2004-03-01
10,Cipla,CIPLA,Healthcare,1998-10-07
11,Coal India,COALINDIA,"Oil, Gas & Consumable Fuels",2011-10-10
12,Dr. Reddy's Laboratories,DRREDDY,Healthcare,2010-10-01
13,Eicher Motors,EICHERMOT,Automobile and Auto Components,2016-04-01
14,Eternal,ETERNAL,Consumer Services,2025-03-28
15,Grasim Industries,GRASIM,Construction Materials,2018-04-02
16,HCLTech,HCLTECH,Information Technology,2002-10-28
17,HDFC Bank,HDFCBANK,Financial Services,1996-04-22
18,HDFC Life,HDFCLIFE,Financial Services,2020-07-31
19,Hindalco Industries,HINDALCO,Metals & Mining,1996-04-22
20,Hindustan Unilever,HINDUNILVR,Fast Moving Consumer Goods,1996-04-22
21,ICICI Bank,ICICIBANK,Financial Services,2002-01-25
22,IndiGo,INDIGO,Services,2025-09-30
23,Infosys,INFY,Information Technology,1998-10-07
24,ITC,ITC,Fast Moving Consumer Goods,1996-04-22
25,Jio Financial Services,JIOFIN,Financial Services,2025-03-28
26,JSW Steel,JSWSTEEL,Metals & Mining,2018-09-28
27,Kotak Mahindra Bank,KOTAKBANK,Financial Services,2010-04-08
28,Larsen & Toubro,LT,Construction,2004-12-10
29,Mahindra & Mahindra,M&M,Automobile and Auto Components,1996-09-18
30,Maruti Suzuki,MARUTI,Automobile and Auto Components,2004-03-01
31,Max Healthcare,MAXHEALTH,Healthcare,2025-09-30
32,Nestlé India,NESTLEIND,Fast Moving Consumer Goods,2019-09-27
33,NTPC,NTPC,Power,2007-09-24
34,Oil and Natural Gas Corporation,ONGC,"Oil, Gas & Consumable Fuels",2004-04-12
35,Power Grid,POWERGRID,Power,2008-03-14
36,Reliance Industries,RELIANCE,"Oil, Gas & Consumable Fuels",1996-04-22
37,SBI Life Insurance Company,SBILIFE,Financial Services,2020-09-25
38,Shriram Finance,SHRIRAMFIN,Financial Services,2024-03-28
39,State Bank of India,SBIN,Financial Services,1996-04-22
40,Sun Pharma,SUNPHARMA,Healthcare,2002-01-17
41,Tata Consultancy Services,TCS,Information Technology,2005-02-25
42,Tata Consumer Products,TATACONSUM,Fast Moving Consumer Goods,2021-03-31
43,Tata Motors Passenger Vehicles,TMPV,Automobile and Auto Components,1996-04-22
44,Tata Steel,TATASTEEL,Metals & Mining,1996-04-22
45,Tech Mahindra,TECHM,Information Technology,2014-03-28
46,Titan Company,TITAN,Consumer Durables,2018-04-02
47,Trent,TRENT,Consumer Services,2024-09-30
48,UltraTech Cement,ULTRACEMCO,Construction Materials,2012-09-28
49,Wipro,WIPRO,Information Technology,2013-09-27
